QueryText,Sector,aug_method
INFORMATION REGARDING TO THE CONTROL OF YELLOW RUST IN THE WHEAT ?,AGRICULTURE,original
INFORMATION REGARDING TO CONTROL OF PHALARIS MINOR IN CHILLI ?,HORTICULTURE,original
control of worm in bhindi?,HORTICULTURE,original
INFORMATION REGARDING TO THE CONTROL OF STEM BORER IN THE WHEAT CROP ?,AGRICULTURE,original
seed rate of moong?,AGRICULTURE,original
INFORMATION REGARDING FOR THE CONTROL OF MAIZE BORER ATTACK ON SUMMER MAIZE CROP?,AGRICULTURE,original
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,AGRICULTURE,original
asking about weather forcasting?,AGRICULTURE,original
HOW TO CONTROL YELLOW RUST IN WHEAT?,AGRICULTURE,original
varieties of bhindi?,HORTICULTURE,original
INFORMATION REGARDING LATEST VARIETIES OF RICE CROP ?,AGRICULTURE,original
Flower Problem In grep plant?,HORTICULTURE,original
Pest in wheat crop,AGRICULTURE,original
new varieties of paddy?,AGRICULTURE,original
weather news of amritser,AGRICULTURE,original
INFORMATION REGARDING FOR THE CONTROL OF MAIZE BORER ATTACK ON SUMMER MAIZE CROP?,AGRICULTURE,original
information regarding to suitable varieties of mungbean,AGRICULTURE,original
information regarding  to weather in amritsar dist.,AGRICULTURE,original
information regarding to seed rate of sorghum,AGRICULTURE,original
INFORMATION REGARDING TO THE CONTROL OF STEM BORER IN THE WHEAT CROP ?,AGRICULTURE,original
information regarding to control of maize borer in sorghum,AGRICULTURE,original
INFORMATION REGARDING LATEST VARIETIES OF RICE CROP ?,AGRICULTURE,original
information regarding to control of jassid in chilli,HORTICULTURE,original
INFORMATION REGARDING TO THE CONTROL OF YELLOW RUST IN THE WHEAT ?,AGRICULTURE,original
weather of amritsar ?,AGRICULTURE,original
INFO REGARDING PROCESSED PRODUCTS OF ROSE?,HORTICULTURE,original
INFORMATION REGARDING TO THE CONTROL OF YELLOW RUST IN THE WHEAT ?,AGRICULTURE,original
INFORMATION REGARDING FOR THE CONTROL OF MAIZE BORER ATTACK ON SUMMER MAIZE CROP?,AGRICULTURE,original
INFORMATION REGARDING FOR THE CONTROL OF FRUIT BORER IN OKRA(BHINDI) CROP?,HORTICULTURE,original
INFORMATION REGARDING TO THE IMPROVED VARIETIES OF[SPRING SUMMER] BHINDI?,HORTICULTURE,original
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF SUMMER MAIZE?,AGRICULTURE,original
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF SQUASH MELON(TINDA)?,HORTICULTURE,original
WEATHER IN AMRITSAR?,AGRICULTURE,original
INFORMATION REGARDING TO THE CONTROL OF STEM BORER IN THE WHEAT CROP ?,AGRICULTURE,original
problem of wilting in bettel gourd?,HORTICULTURE,original
INFORMATION REGARDING TO THE IMPROVED VARIETIES OF CHILLI ?,HORTICULTURE,original
information regarding to varieties of sorghum,AGRICULTURE,original
information regarding seedpr-121?,AGRICULTURE,original
weather of amritsar,AGRICULTURE,original
PROBLEM OF CATERPILLAR IN BITTER GOURD?,HORTICULTURE,original
INFORMATION REGARDING THE CONTROL OF FLOWER DROPPING.?,HORTICULTURE,original
information regarding to control of red pumpkin beetle in pumpkin,HORTICULTURE,original
information regarding varieties of paddy ?,AGRICULTURE,original
INFORMATION REGARDING CONTOL OF STEM ROT IN ONION?,HORTICULTURE,original
INFORMATION REGARDING SOWING TIME  NURSARY OF MARIGOLD?,HORTICULTURE,original
information regarding to control of jassid in okra,HORTICULTURE,original
new var. of paddy ?,AGRICULTURE,original
#   INFORMATION REGARDING TO CONTROL OF WEEDS IN THE BHINDI ?,HORTICULTURE,original
weather newther of Amritsar,AGRICULTURE,original
INFORMATION REGARDING TO THE IMPROVED VARIETIES OF[SPRING SUMMER] BHINDI?,HORTICULTURE,original
INFORMATION REGARDING TO THE CONTROL OF YELLOW RUST IN THE WHEAT ?,AGRICULTURE,original
information regarding weather condition?,AGRICULTURE,original
YELLOWING OF LEAVES OF GRAM?,AGRICULTURE,original
aphids problem in wheat crop?,AGRICULTURE,original
information regarding to control of maize borer in maize,AGRICULTURE,original
information regarding to control of jassid in chilli,HORTICULTURE,original
information regarding to control of maize borer in maize,AGRICULTURE,original
INFORMATION REGARDING LATEST VARIETIES OF RICE CROP ?,AGRICULTURE,original
#  INFORMATION REGARDING TO THE IRRIGATION IN THE CHILLI ?,HORTICULTURE,original
WHAT IS THE AMOUNT OF UREA IN TINDA?,HORTICULTURE,original
information regarding to control of root rot  in okra,HORTICULTURE,original
INFORMATION REGARDING TO THE CONTROL OF STEM BORER IN THE WHEAT CROP ?,AGRICULTURE,original
information regarding seed rate of summer moong?,AGRICULTURE,original
