QueryText,Sector
INFORMATION REGARDING TO THE CONTROL OF YELLOW RUST IN THE WHEAT ?,AGRICULTURE
INFORMATION REGARDING TO CONTROL OF PHALARIS MINOR IN CHILLI ?,HORTICULTURE
control of worm in bhindi?,HORTICULTURE
INFORMATION REGARDING TO THE CONTROL OF STEM BORER IN THE WHEAT CROP ?,AGRICULTURE
seed rate of moong?,AGRICULTURE
INFORMATION REGARDING FOR THE CONTROL OF MAIZE BORER ATTACK ON SUMMER MAIZE CROP?,AGRICULTURE
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,AGRICULTURE
asking about weather forcasting?,AGRICULTURE
HOW TO CONTROL YELLOW RUST IN WHEAT?,AGRICULTURE
varieties of bhindi?,HORTICULTURE
INFORMATION REGARDING LATEST VARIETIES OF RICE CROP ?,AGRICULTURE
Flower Problem In grep plant?,HORTICULTURE
Pest in wheat crop,AGRICULTURE
new varieties of paddy?,AGRICULTURE
weather news of amritser,AGRICULTURE
INFORMATION REGARDING FOR THE CONTROL OF MAIZE BORER ATTACK ON SUMMER MAIZE CROP?,AGRICULTURE
information regarding to suitable varieties of mungbean,AGRICULTURE
information regarding  to weather in amritsar dist.,AGRICULTURE
information regarding to seed rate of sorghum,AGRICULTURE
INFORMATION REGARDING TO THE CONTROL OF STEM BORER IN THE WHEAT CROP ?,AGRICULTURE
information regarding to control of maize borer in sorghum,AGRICULTURE
INFORMATION REGARDING LATEST VARIETIES OF RICE CROP ?,AGRICULTURE
information regarding to control of jassid in chilli,HORTICULTURE
INFORMATION REGARDING TO THE CONTROL OF YELLOW RUST IN THE WHEAT ?,AGRICULTURE
weather of amritsar ?,AGRICULTURE
INFO REGARDING PROCESSED PRODUCTS OF ROSE?,HORTICULTURE
INFORMATION REGARDING TO THE CONTROL OF YELLOW RUST IN THE WHEAT ?,AGRICULTURE
INFORMATION REGARDING FOR THE CONTROL OF MAIZE BORER ATTACK ON SUMMER MAIZE CROP?,AGRICULTURE
INFORMATION REGARDING FOR THE CONTROL OF FRUIT BORER IN OKRA(BHINDI) CROP?,HORTICULTURE
INFORMATION REGARDING TO THE IMPROVED VARIETIES OF[SPRING SUMMER] BHINDI?,HORTICULTURE
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF SUMMER MAIZE?,AGRICULTURE
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF SQUASH MELON(TINDA)?,HORTICULTURE
WEATHER IN AMRITSAR?,AGRICULTURE
INFORMATION REGARDING TO THE CONTROL OF STEM BORER IN THE WHEAT CROP ?,AGRICULTURE
problem of wilting in bettel gourd?,HORTICULTURE
INFORMATION REGARDING TO THE IMPROVED VARIETIES OF CHILLI ?,HORTICULTURE
information regarding to varieties of sorghum,AGRICULTURE
information regarding seedpr-121?,AGRICULTURE
weather of amritsar,AGRICULTURE
PROBLEM OF CATERPILLAR IN BITTER GOURD?,HORTICULTURE
INFORMATION REGARDING THE CONTROL OF FLOWER DROPPING.?,HORTICULTURE
information regarding to control of red pumpkin beetle in pumpkin,HORTICULTURE
information regarding varieties of paddy ?,AGRICULTURE
INFORMATION REGARDING CONTOL OF STEM ROT IN ONION?,HORTICULTURE
INFORMATION REGARDING SOWING TIME  NURSARY OF MARIGOLD?,HORTICULTURE
information regarding to control of jassid in okra,HORTICULTURE
new var. of paddy ?,AGRICULTURE
#   INFORMATION REGARDING TO CONTROL OF WEEDS IN THE BHINDI ?,HORTICULTURE
weather newther of Amritsar,AGRICULTURE
INFORMATION REGARDING TO THE IMPROVED VARIETIES OF[SPRING SUMMER] BHINDI?,HORTICULTURE
INFORMATION REGARDING TO THE CONTROL OF YELLOW RUST IN THE WHEAT ?,AGRICULTURE
information regarding weather condition?,AGRICULTURE
YELLOWING OF LEAVES OF GRAM?,AGRICULTURE
aphids problem in wheat crop?,AGRICULTURE
information regarding to control of maize borer in maize,AGRICULTURE
information regarding to control of jassid in chilli,HORTICULTURE
information regarding to control of maize borer in maize,AGRICULTURE
INFORMATION REGARDING LATEST VARIETIES OF RICE CROP ?,AGRICULTURE
#  INFORMATION REGARDING TO THE IRRIGATION IN THE CHILLI ?,HORTICULTURE
WHAT IS THE AMOUNT OF UREA IN TINDA?,HORTICULTURE
information regarding to control of root rot  in okra,HORTICULTURE
INFORMATION REGARDING TO THE CONTROL OF STEM BORER IN THE WHEAT CROP ?,AGRICULTURE
information regarding seed rate of summer moong?,AGRICULTURE
contact no of krishi vigyan kendra?,AGRICULTURE
problem of stem rot in barseem?,AGRICULTURE
INFORMATION REGARDING FOR THE FERT. DOSE AT THE TIME OF  CAPSICUM(SHIMLA MIRCH)  SEEDLING TRANSPLANTING?,HORTICULTURE
INFORMATION REGARDING TO THE CONTROL OF APHID IN WHEAT.?,AGRICULTURE
INFORMATION REGARDING FOR THE CONTROL OF YELLOW RUST DISEASE IN WHEAT CROP?,AGRICULTURE
irrigation in wheat?,AGRICULTURE
WHETHER TO NEED IRRIGATE WHEAT 15 DAYS BEFORE HARVESTING?,AGRICULTURE
